id,name,description,maintain_stock,quantity,condition,warranty,created_at,updated_at,sort_order,disabled,reorder_at,taxable,upc_code,pdf,discount_percent,warranty_template_id,qb_item_id,vendor_id,desired_stock_level,notes,tax_rate_id,xero_item_id,serialized,delete,price_retail,price_cost,price_wholesale,category_path,vendor,serial_numbers
1001864,304559 MH SVGA SPLITTER Y,4487,true,18,,,2015-08-01 14:34:27 -0700,2015-08-01 14:34:27 -0700,,false,,true,,"",,,,,,,,,false,"",10.0,3.24,0.0,Cable;VGA,
1001865,305037 MH HDMI-MINI HDMI 10FT,1383,true,10,,,2015-08-01 14:34:27 -0700,2015-08-01 14:34:27 -0700,,false,,true,,"",,,,,,,,,false,"",15.0,1.0,0.0,Cable;HDMI,
1001866,305952 MH USB2.0 DUAL PWR AM-BM,1380,true,6,,,2015-08-01 14:34:27 -0700,2015-08-01 14:34:27 -0700,,false,,true,,"",,,,,,,,,false,"",10.0,1.5,0.0,Cable;USB,
1001867,306935 MH DISPLAY PORT M-M 3.3FT,2966,true,13,,,2015-08-01 14:34:27 -0700,2015-08-03 10:32:53 -0700,,false,,true,,"",,,,,,,,,false,"",16.0,6.72,0.0,Cable;DP,
1001868,307093 MH DISPLAY PORT M-M 10FT,2968,true,3,,,2015-08-01 14:34:27 -0700,2015-08-01 14:34:27 -0700,,false,,true,,"",,,,,,,,,false,"",25.0,10.15,0.0,Cable;DP,
1001869,307871 MH DVI-I TO HD15 & 3RCA,2057,true,1,,,2015-08-01 14:34:27 -0700,2015-08-01 14:34:27 -0700,,false,,true,,"",,,,,,,,,false,"",19.0,5.35,0.0,Cable;Adapter,
1001870,318129 INT PATCH CABLE 1.5FT BLU,2400,true,15,,,2015-08-01 14:34:27 -0700,2015-08-01 14:34:27 -0700,,false,,true,,"",,,,,,,,,false,"",4.0,0.44,0.0,Cable;Ethernet,
1001871,318228 INT PATCH CABLE 1.5FT GRY,2409,true,3,,,2015-08-01 14:34:28 -0700,2015-08-01 14:34:28 -0700,,false,,true,,"",,,,,,,,,false,"",4.0,0.44,0.0,Cable;Ethernet,
1001872,318921 INT PATCH CABLE 3FT GRY,2410,true,50,,,2015-08-01 14:34:28 -0700,2015-08-01 14:34:28 -0700,,false,,true,,"",,,,,,,,,false,"",5.0,0.55,0.0,Cable;Ethernet,
1001873,318938 INT PATCH CABLE 3FT BLU,2401,true,29,,,2015-08-01 14:34:28 -0700,2015-08-01 14:34:28 -0700,,false,,true,,"",,,,,,,,,false,"",5.0,0.55,0.0,Cable;Ethernet,
1001726,318969 INT PATCH CABLE 3FT YEL,2491,true,34,,,2015-08-01 14:34:06 -0700,2015-08-06 00:11:39 -0700,,false,,true,766623318969,"",,,,,,,,,false,"",5.0,0.55,0.0,Cable;Ethernet,
1001874,318976 INT PATCH CABLE 7FT GRY,2412,true,20,,,2015-08-01 14:34:28 -0700,2015-08-01 14:34:28 -0700,,false,,true,,"",,,,,,,,,false,"",7.0,0.85,0.0,Cable;Ethernet,
